epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,70918.7,0.44234,0.55474,0.28271,0.79106,0.99632,0.98366,0.99406,0.94924,0.97732,0.96363,0.97968,0.5955,0.3435,0.63023,0.22094,0.77967,0.006997,0.006997,0.006997
93,71682.2,0.44713,0.55777,0.28478,0.79249,0.99585,0.98415,0.99399,0.94837,0.97803,0.96415,0.98066,0.59841,0.34366,0.63367,0.22007,0.77964,0.006964,0.006964,0.006964
94,72448.1,0.44466,0.54377,0.28239,0.79112,0.99534,0.98399,0.9945,0.94845,0.97784,0.96585,0.9806,0.59872,0.34373,0.63685,0.22007,0.7796,0.006931,0.006931,0.006931
95,73217.5,0.44609,0.55006,0.28351,0.79448,0.99701,0.98365,0.99365,0.94848,0.97831,0.96424,0.97996,0.59663,0.34411,0.64077,0.21976,0.77976,0.006898,0.006898,0.006898
96,73986.7,0.44337,0.55521,0.28347,0.79218,0.99567,0.98348,0.99347,0.94919,0.97924,0.96488,0.98083,0.59263,0.3426,0.64503,0.21879,0.77949,0.006865,0.006865,0.006865
97,74751.4,0.44449,0.54496,0.28268,0.79168,0.99519,0.98368,0.9935,0.94895,0.97824,0.96526,0.97933,0.59393,0.34097,0.64727,0.21842,0.77949,0.006832,0.006832,0.006832
98,75518.2,0.4439,0.55054,0.28198,0.7922,0.99532,0.9837,0.99341,0.94736,0.9777,0.96485,0.97984,0.59328,0.33933,0.64857,0.21795,0.7791,0.006799,0.006799,0.006799
99,76286.9,0.44346,0.56009,0.28147,0.7931,0.99609,0.98413,0.99415,0.94899,0.97727,0.96522,0.9807,0.59537,0.33837,0.64073,0.21746,0.77919,0.006766,0.006766,0.006766
100,77052.2,0.44613,0.55431,0.28257,0.79303,0.99586,0.98501,0.99424,0.94852,0.97651,0.96584,0.98029,0.59852,0.3383,0.63228,0.21686,0.77926,0.006733,0.006733,0.006733
101,77822,0.43988,0.55692,0.27925,0.79067,0.99577,0.98452,0.99429,0.94751,0.97664,0.9655,0.9808,0.59743,0.33887,0.64358,0.21632,0.77927,0.0067,0.0067,0.0067
102,78586.6,0.44296,0.54426,0.28152,0.7923,0.99508,0.98449,0.99406,0.94762,0.9787,0.9635,0.98105,0.59582,0.33795,0.6438,0.21549,0.77941,0.006667,0.006667,0.006667
103,79359.9,0.43943,0.55049,0.28063,0.79223,0.99588,0.98354,0.99376,0.94843,0.97941,0.9645,0.9815,0.595,0.33596,0.63768,0.214,0.77907,0.006634,0.006634,0.006634
104,80130.1,0.43893,0.54674,0.27906,0.79146,0.99574,0.9827,0.99349,0.94834,0.98005,0.96367,0.98087,0.59646,0.33496,0.64757,0.21405,0.7788,0.006601,0.006601,0.006601
105,80929.1,0.43472,0.53534,0.27714,0.79164,0.9956,0.98371,0.99353,0.94881,0.97922,0.963,0.98008,0.59556,0.33458,0.64748,0.21364,0.77887,0.006568,0.006568,0.006568
106,81698,0.43603,0.55097,0.27674,0.79115,0.99549,0.98382,0.99356,0.9503,0.97855,0.96498,0.98037,0.59687,0.33356,0.64739,0.21353,0.77884,0.006535,0.006535,0.006535
107,82463.4,0.43538,0.53397,0.27759,0.79006,0.99462,0.98432,0.99379,0.94972,0.97697,0.96434,0.98046,0.59791,0.33383,0.64442,0.21316,0.77875,0.006502,0.006502,0.006502
108,83233.5,0.4368,0.54032,0.27686,0.79012,0.99416,0.98496,0.99388,0.94948,0.97598,0.96676,0.98158,0.59797,0.33362,0.64802,0.21305,0.77874,0.006469,0.006469,0.006469
109,83999.3,0.43178,0.53308,0.27573,0.79133,0.99528,0.98482,0.99386,0.94956,0.97749,0.96653,0.98081,0.59612,0.33412,0.65035,0.21261,0.77882,0.006436,0.006436,0.006436
110,84764.2,0.43525,0.54228,0.27683,0.78845,0.99574,0.98449,0.99382,0.94917,0.97829,0.96647,0.98134,0.59653,0.33449,0.65045,0.21229,0.77881,0.006403,0.006403,0.006403
111,85526.6,0.43512,0.54506,0.27618,0.78985,0.99554,0.98446,0.99392,0.94862,0.97865,0.96571,0.98143,0.59784,0.33545,0.65537,0.21222,0.77897,0.00637,0.00637,0.00637
112,86296.5,0.43108,0.53355,0.27421,0.79066,0.99594,0.98437,0.99385,0.94843,0.97922,0.96603,0.98263,0.59734,0.3355,0.65664,0.21196,0.77896,0.006337,0.006337,0.006337
113,87067.4,0.43386,0.53662,0.27434,0.79083,0.99521,0.98444,0.99368,0.94855,0.97833,0.96564,0.98175,0.59728,0.3346,0.65791,0.21171,0.77892,0.006304,0.006304,0.006304
114,87836.7,0.43425,0.5473,0.27462,0.79102,0.9951,0.98431,0.99365,0.94873,0.97817,0.96563,0.98199,0.59668,0.33414,0.65439,0.21183,0.7788,0.006271,0.006271,0.006271
115,88601.1,0.43291,0.5351,0.2741,0.7906,0.99526,0.98436,0.99379,0.94934,0.97835,0.96606,0.98225,0.59661,0.33355,0.64963,0.21183,0.77859,0.006238,0.006238,0.006238
116,89364.8,0.42785,0.52754,0.27054,0.79029,0.99505,0.98363,0.99352,0.94911,0.97989,0.96561,0.98197,0.59726,0.33348,0.64767,0.21157,0.77864,0.006205,0.006205,0.006205
117,90125.5,0.43073,0.53409,0.27488,0.79095,0.99565,0.98425,0.99378,0.94949,0.97975,0.96629,0.9825,0.59688,0.33334,0.64657,0.21106,0.77865,0.006172,0.006172,0.006172
118,90892.7,0.43038,0.52885,0.27312,0.79106,0.99557,0.98444,0.99382,0.94944,0.98025,0.967,0.98239,0.59716,0.33318,0.6443,0.21058,0.77866,0.006139,0.006139,0.006139
119,91659.4,0.42784,0.53125,0.27188,0.79001,0.99642,0.98484,0.99396,0.94958,0.9805,0.96718,0.98227,0.59672,0.33342,0.64284,0.21018,0.77869,0.006106,0.006106,0.006106
120,92423.5,0.42571,0.53183,0.27113,0.79081,0.99633,0.98475,0.99401,0.94981,0.9807,0.96717,0.98262,0.5966,0.33298,0.64392,0.20996,0.77857,0.006073,0.006073,0.006073
121,93188.4,0.42518,0.52449,0.27068,0.79015,0.99555,0.98482,0.99407,0.94976,0.98058,0.96634,0.98165,0.59622,0.3324,0.64565,0.2098,0.77844,0.00604,0.00604,0.00604
122,93956.7,0.42545,0.52643,0.27023,0.79054,0.99564,0.98464,0.99407,0.95015,0.97955,0.96618,0.98159,0.5958,0.33243,0.64517,0.20947,0.77856,0.006007,0.006007,0.006007
123,94721.9,0.42939,0.52233,0.27116,0.78985,0.99589,0.98478,0.99403,0.9502,0.97882,0.96652,0.98209,0.59465,0.33233,0.64588,0.20923,0.77856,0.005974,0.005974,0.005974
124,95486.1,0.4251,0.51935,0.27107,0.7919,0.99575,0.98465,0.99396,0.95046,0.98084,0.96584,0.98163,0.59465,0.33192,0.64649,0.20918,0.77854,0.005941,0.005941,0.005941
125,96249.1,0.4218,0.52241,0.2678,0.78919,0.99541,0.98449,0.99393,0.95055,0.98045,0.96619,0.98202,0.59443,0.33162,0.64507,0.20893,0.77851,0.005908,0.005908,0.005908
